customer_id,payment_method,monthly_charges,total_charges,total_charges_missing_flag
7590-VHVEG,Electronic check,29.85,29.85,0
5575-GNVDE,Mailed check,56.95,1889.5,0
3668-QPYBK,Mailed check,53.85,108.15,0
7795-CFOCW,Bank transfer (automatic),42.3,1840.75,0
9237-HQITU,Electronic check,70.7,151.65,0
9305-CDSKC,Electronic check,99.65,820.5,0
1452-KIOVK,Credit card (automatic),89.1,1949.4,0
6713-OKOMC,Mailed check,29.75,301.9,0
7892-POOKP,Electronic check,104.8,3046.05,0
6388-TABGU,Bank transfer (automatic),56.15,3487.95,0
9763-GRSKD,Mailed check,49.95,587.45,0
7469-LKBCI,Credit card (automatic),18.95,326.8,0
8091-TTVAX,Credit card (automatic),100.35,5681.1,0
0280-XJGEX,Bank transfer (automatic),103.7,5036.3,0
5129-JLPIS,Electronic check,105.5,2686.05,0
3655-SNQYZ,Credit card (automatic),113.25,7895.15,0
8191-XWSZG,Mailed check,20.65,1022.95,0
9959-WOFKT,Bank transfer (automatic),106.7,7382.25,0
4190-MFLUW,Credit card (automatic),55.2,528.35,0
4183-MYFRB,Electronic check,90.05,1862.9,0
8779-QRDMV,Electronic check,39.65,39.65,0
1680-VDCWW,Bank transfer (automatic),19.8,202.25,0
1066-JKSGK,Mailed check,20.15,20.15,0
3638-WEABW,Credit card (automatic),59.9,3505.1,0
6322-HRPFA,Credit card (automatic),59.6,2970.3,0
6865-JZNKO,Bank transfer (automatic),55.3,1530.6,0
6467-CHFZW,Electronic check,99.35,4749.15,0
8665-UTDHZ,Electronic check,30.2,30.2,0
5248-YGIJN,Credit card (automatic),90.25,6369.45,0
8773-HHUOZ,Mailed check,64.7,1093.1,0
3841-NFECX,Credit card (automatic),96.35,6766.95,0
4929-XIHVW,Credit card (automatic),95.5,181.65,0
6827-IEAUQ,Mailed check,66.15,1874.45,0
7310-EGVHZ,Bank transfer (automatic),20.2,20.2,0
3413-BMNZE,Bank transfer (automatic),45.25,45.25,0
6234-RAAPL,Bank transfer (automatic),99.9,7251.7,0
