customer_id,contract,paperless_billing,churn
7590-VHVEG,Month-to-month,Yes,No
5575-GNVDE,One year,No,No
3668-QPYBK,Month-to-month,Yes,Yes
7795-CFOCW,One year,No,No
9237-HQITU,Month-to-month,Yes,Yes
9305-CDSKC,Month-to-month,Yes,Yes
1452-KIOVK,Month-to-month,Yes,No
6713-OKOMC,Month-to-month,No,No
7892-POOKP,Month-to-month,Yes,Yes
6388-TABGU,One year,No,No
9763-GRSKD,Month-to-month,Yes,No
7469-LKBCI,Two year,No,No
8091-TTVAX,One year,No,No
0280-XJGEX,Month-to-month,Yes,Yes
5129-JLPIS,Month-to-month,Yes,No
3655-SNQYZ,Two year,No,No
8191-XWSZG,One year,No,No
9959-WOFKT,Two year,No,No
4190-MFLUW,Month-to-month,No,Yes
4183-MYFRB,Month-to-month,Yes,No
8779-QRDMV,Month-to-month,Yes,Yes
1680-VDCWW,One year,No,No
1066-JKSGK,Month-to-month,No,Yes
3638-WEABW,Two year,Yes,No
6322-HRPFA,Month-to-month,No,No
6865-JZNKO,Month-to-month,Yes,No
6467-CHFZW,Month-to-month,Yes,Yes
8665-UTDHZ,Month-to-month,No,Yes
5248-YGIJN,Two year,Yes,No
8773-HHUOZ,Month-to-month,Yes,Yes
3841-NFECX,Two year,Yes,No
4929-XIHVW,Month-to-month,Yes,No
6827-IEAUQ,One year,No,No
7310-EGVHZ,Month-to-month,No,No
3413-BMNZE,Month-to-month,No,No
6234-RAAPL,Two year,No,No
6047-YHPVI,Month-to-month,Yes,Yes
6572-ADKRS,Month-to-month,Yes,No
5380-WJKOV,Month-to-month,Yes,Yes
8168-UQWWF,Month-to-month,Yes,Yes
8865-TNMNX,One year,No,No
9489-DEDVP,Two year,Yes,No
9867-JCZSP,One year,No,No
4671-VJLCL,Two year,Yes,No
4080-IIARD,Month-to-month,Yes,No
3714-NTNFO,Month-to-month,Yes,No
5948-UJZLF,Month-to-month,No,No
7760-OYPDY,Month-to-month,Yes,Yes
7639-LIAYI,Two year,Yes,No
2954-PIBKO,Two year,Yes,No
8012-SOUDQ,Month-to-month,Yes,No
9420-LOJKX,Month-to-month,Yes,Yes
6575-SUVOI,Month-to-month,Yes,No
7495-OOKFY,Month-to-month,Yes,Yes
4667-QONEA,One year,Yes,No
1658-BYGOY,Month-to-month,Yes,Yes
8769-KKTPH,One year,Yes,No
5067-XJQFU,One year,Yes,No
3957-SQXML,Two year,No,No
5954-BDFSG,Two year,Yes,No
0434-CSFON,Month-to-month,Yes,No
1215-FIGMP,Month-to-month,Yes,No
0526-SXDJP,Two year,No,No
