feature,importance_mean,importance_std,rank
tenure,0.0432041429614175,0.004993394214062983,1
is_month_to_month,0.02175371820821957,0.005485514560452459,2
contract,0.016381017336970793,0.004271283741530428,3
internet_service,0.013899407778600182,0.0040167530571421335,4
monthly_charges,0.012778962680733558,0.00277392841191548,5
total_charges,0.010526618902423129,0.0027632058645621553,6
online_security,0.004445284230034441,0.0022840746593282162,7
tech_support,0.004140890713409245,0.0017401036830777864,8
paperless_billing,0.0021132830497330446,0.0012161883996692903,9
senior_citizen,0.0014652820557950474,0.0009095653987776492,10
streaming_movies,0.001250705333616231,0.0007753773087105258,11
online_backup,0.0012085147356485858,0.0010712231867881772,12
multiple_lines,0.0010972143851819439,0.001340196429379211,13
is_electronic_check,0.0008939618265680849,0.001410138348506538,14
tenure_group,0.00035447867433506254,0.0001791777595918272,15
has_streaming_movies,0.0003212826977133321,0.000260731575872967,16
monthly_charge_band,0.00017186844816243773,8.830284902075772e-05,17
payment_method,0.0001298719787130531,0.000853419944115303,18
gender,0.00010929435577797797,0.0002829288681144124,19
streaming_tv,2.6919154531396262e-05,0.00047540724335558743,20
has_device_protection,0.0,0.0,21
is_total_charges_missing,0.0,0.0,22
has_tech_support,-3.300184810439699e-06,0.0001903535355407493,23
is_paperless_billing,-4.490839722327555e-05,0.00015158557802171562,24
has_online_security,-7.901030693022171e-05,5.814857570269714e-05,25
partner,-0.00015245559633699223,0.0002440540618912129,26
phone_service,-0.00015368507695262545,0.00032814288793081635,27
has_online_backup,-0.00016242086027413172,7.70966989720601e-05,28
is_new_customer,-0.00026880328827836865,0.00017511932298249917,29
has_streaming_tv,-0.00036554399987585585,0.00020198550692622437,30
device_protection,-0.0003788094486233573,0.00035506834214073344,31
dependents,-0.0012784010022209359,0.0006074392148606484,32
