model,threshold,precision,recall,f1,predicted_positive_rate,true_positives,false_positives,false_negatives,true_negatives
LogisticRegression,0.2,0.455172,0.882353,0.600546,0.515281,330,395,44,638
LogisticRegression,0.25,0.484127,0.815508,0.60757,0.447761,305,325,69,708
LogisticRegression,0.3,0.509839,0.762032,0.610932,0.397299,285,274,89,759
LogisticRegression,0.35,0.540486,0.713904,0.615207,0.351102,267,227,107,806
LogisticRegression,0.4,0.569161,0.671123,0.615951,0.313433,251,190,123,843
LogisticRegression,0.5,0.632911,0.534759,0.57971,0.224591,200,116,174,917
GradientBoostingClassifier,0.2,0.469027,0.850267,0.604563,0.481876,318,360,56,673
GradientBoostingClassifier,0.25,0.494346,0.818182,0.616314,0.439943,306,313,68,720
GradientBoostingClassifier,0.3,0.515371,0.762032,0.614887,0.393035,285,268,89,765
GradientBoostingClassifier,0.35,0.553236,0.708556,0.621336,0.340441,265,214,109,819
GradientBoostingClassifier,0.4,0.601432,0.673797,0.635561,0.297797,252,167,122,866
GradientBoostingClassifier,0.5,0.641694,0.526738,0.578561,0.218195,197,110,177,923
